,Unnamed: 0,HCPCS Code,Description,AETNA,CIGNA,HUMANA (Current),HUMANA (2020),HUMANA (2019),UNITED,>90% Agree,>85% Agree,>55% Agree,>51% Agree,WELLCARE BINARY,AETNA BINARY,Num Insurers That Require PR,At Least One Require Prior Auth,All Require Prior Auth,ndc_code,j_code,drug_id,HCPCS Category,sub_category_id,multum_category_id,multum_category_name,sub_category_name,CPT Category,PERCENT OF SPENDING,Category,Therapeutic_area
432,432,36620,Insertion catheter artery,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) surgery,0.000236035,Surgery and anesthesia,
4685,4685,36625,Insertion catheter artery,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) surgery,5.77E-07,Surgery and anesthesia,
6472,6472,36640,Insertion catheter artery,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) surgery,1.52E-07,Surgery and anesthesia,
13914,13914,36660,Insertion catheter artery,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) surgery,,Surgery and anesthesia,
3358,3358,36680,Insert needle bone cavity,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) surgery,1.85E-06,Surgery and anesthesia,
1947,1947,36800,Insertion of cannula,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) surgery,9.49E-06,Surgery and anesthesia,
6259,6259,36810,Insertion of cannula,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) surgery,1.78E-07,Surgery and anesthesia,
7941,7941,36815,Insertion of cannula,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) surgery,3.73E-08,Surgery and anesthesia,
4234,4234,36818,Av fuse uppr arm cephalic,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) surgery,8.58E-07,Surgery and anesthesia,
3819,3819,36819,Av fuse uppr arm basilic,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) surgery,1.20E-06,Surgery and anesthesia,
5931,5931,36820,Av fusion/forearm vein,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) surgery,2.27E-07,Surgery and anesthesia,
2612,2612,36821,Av fusion direct any site,A,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,,,,,,,,,1) surgery,3.96E-06,Surgery and anesthesia,
5349,5349,36823,Insertion of cannula(s),A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) surgery,3.54E-07,Surgery and anesthesia,
5831,5831,36825,Artery-vein autograft,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) surgery,2.45E-07,Surgery and anesthesia,
2997,2997,36830,Artery-vein nonautograft,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) surgery,2.64E-06,Surgery and anesthesia,
4954,4954,36831,Open thrombect av fistula,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) surgery,4.75E-07,Surgery and anesthesia,
2834,2834,36832,Av fistula revision open,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) surgery,3.13E-06,Surgery and anesthesia,
4237,4237,36833,Av fistula revision,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) surgery,8.55E-07,Surgery and anesthesia,
13915,13915,36835,Artery to vein shunt,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) surgery,,Surgery and anesthesia,
5838,5838,36838,Dist revas ligation hemo,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) surgery,2.43E-07,Surgery and anesthesia,
7657,7657,36860,External cannula declotting,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) surgery,5.03E-08,Surgery and anesthesia,
8010,8010,36861,Cannula declotting,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) surgery,3.41E-08,Surgery and anesthesia,
5226,5226,36901,Intro cath dialysis circuit,A,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,,,,,,,,,1) surgery,3.90E-07,Surgery and anesthesia,
2349,2349,36902,Intro cath dialysis circuit,A,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,,,,,,,,,1) surgery,5.40E-06,Surgery and anesthesia,
3708,3708,36903,Intro cath dialysis circuit,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) surgery,1.30E-06,Surgery and anesthesia,
5375,5375,36904,Thrmbc/nfs dialysis circuit,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) surgery,3.49E-07,Surgery and anesthesia,
2622,2622,36905,Thrmbc/nfs dialysis circuit,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) surgery,3.92E-06,Surgery and anesthesia,
3070,3070,36906,Thrmbc/nfs dialysis circuit,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) surgery,2.43E-06,Surgery and anesthesia,
390,390,36907,Balo angiop ctr dialysis seg,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) surgery,0.000280326,Surgery and anesthesia,
927,927,36908,Stent plmt ctr dialysis seg,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) surgery,6.00E-05,Surgery and anesthesia,
920,920,36909,Dialysis circuit embolj,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) surgery,6.06E-05,Surgery and anesthesia,
4961,4961,37140,Revision of circulation,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) surgery,4.72E-07,Surgery and anesthesia,
13917,13917,37145,Revision of circulation,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) surgery,,Surgery and anesthesia,
13918,13918,37160,Revision of circulation,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) surgery,,Surgery and anesthesia,
13919,13919,37180,Revision of circulation,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) surgery,,Surgery and anesthesia,
13920,13920,37181,Splice spleen/kidney veins,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) surgery,,Surgery and anesthesia,
1712,1712,37182,Insert hepatic shunt (tips),A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) surgery,1.39E-05,Surgery and anesthesia,
2756,2756,37183,Remove hepatic shunt (tips),A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) surgery,3.40E-06,Surgery and anesthesia,
1214,1214,37184,Prim art m-thrmbc 1st vsl,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) surgery,3.23E-05,Surgery and anesthesia,
2431,2431,37185,Prim art m-thrmbc sbsq vsl,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) surgery,4.93E-06,Surgery and anesthesia,
1455,1455,37186,Sec art thrombectomy add-on,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) surgery,2.10E-05,Surgery and anesthesia,
1325,1325,37187,Venous mech thrombectomy,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) surgery,2.62E-05,Surgery and anesthesia,
4384,4384,37188,Ven mechnl thrmbc repeat tx,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) surgery,7.46E-07,Surgery and anesthesia,
916,916,37191,Ins endovas vena cava filtr,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) surgery,6.09E-05,Surgery and anesthesia,
6781,6781,37192,Redo endovas vena cava filtr,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) surgery,1.20E-07,Surgery and anesthesia,
1243,1243,37193,Rem endovas vena cava filter,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) surgery,3.05E-05,Surgery and anesthesia,
13921,13921,37195,Thrombolytic therapy stroke,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) surgery,,Surgery and anesthesia,
2459,2459,37197,Remove intrvas foreign body,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) surgery,4.80E-06,Surgery and anesthesia,
2032,2032,37200,Transcatheter biopsy,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) surgery,8.26E-06,Surgery and anesthesia,
1245,1245,37211,Thrombolytic art therapy,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) surgery,3.03E-05,Surgery and anesthesia,
2014,2014,37212,Thrombolytic venous therapy,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) surgery,8.42E-06,Surgery and anesthesia,
2673,2673,37213,Thromblytic art/ven therapy,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) surgery,3.68E-06,Surgery and anesthesia,
2474,2474,37214,Cessj therapy cath removal,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) surgery,4.73E-06,Surgery and anesthesia,
4231,4231,37215,Transcath stent cca w/eps,A,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,TRUE,FALSE,,,,,,,,,1) surgery,8.61E-07,Surgery and anesthesia,
13923,13923,37216,Transcath stent cca w/o eps,A,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,TRUE,FALSE,,,,,,,,,1) surgery,,Surgery and anesthesia,
8640,8640,37217,Stent placemt retro carotid,A,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,TRUE,FALSE,,,,,,,,,1) surgery,1.28E-08,Surgery and anesthesia,
8657,8657,37218,Stent placemt ante carotid,A,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,TRUE,FALSE,,,,,,,,,1) surgery,1.23E-08,Surgery and anesthesia,
784,784,37220,Iliac revasc,A,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,3,TRUE,FALSE,,,,,,,,,1) surgery,8.22E-05,Surgery and anesthesia,
4923,4923,37221,Iliac revasc w/stent,A,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,3,TRUE,FALSE,,,,,,,,,1) surgery,4.85E-07,Surgery and anesthesia,
8346,8346,37222,Iliac revasc add-on,A,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,FALSE,FALSE,,,,,,,,,1) surgery,2.08E-08,Surgery and anesthesia,
7391,7391,37223,Iliac revasc w/stent add-on,A,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,FALSE,FALSE,,,,,,,,,1) surgery,6.86E-08,Surgery and anesthesia,
5876,5876,37224,Fem/popl revas w/tla,A,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,3,TRUE,FALSE,,,,,,,,,1) surgery,2.37E-07,Surgery and anesthesia,
2104,2104,37225,Fem/popl revas w/ather,A,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,3,TRUE,FALSE,,,,,,,,,1) surgery,7.46E-06,Surgery and anesthesia,
4613,4613,37226,Fem/popl revasc w/stent,A,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,3,TRUE,FALSE,,,,,,,,,1) surgery,6.12E-07,Surgery and anesthesia,
2705,2705,37227,Fem/popl revasc stnt & ather,A,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,3,TRUE,FALSE,,,,,,,,,1) surgery,3.58E-06,Surgery and anesthesia,
4533,4533,37228,Tib/per revasc w/tla,A,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,3,TRUE,FALSE,,,,,,,,,1) surgery,6.64E-07,Surgery and anesthesia,
2209,2209,37229,Tib/per revasc w/ather,A,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,3,TRUE,FALSE,,,,,,,,,1) surgery,6.49E-06,Surgery and anesthesia,
1109,1109,37230,Tib/per revasc w/stent,A,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2,TRUE,FALSE,,,,,,,,,1) surgery,4.11E-05,Surgery and anesthesia,
486,486,37231,Tib/per revasc stent & ather,A,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2,TRUE,FALSE,,,,,,,,,1) surgery,0.000189833,Surgery and anesthesia,
6979,6979,37232,Tib/per revasc add-on,A,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,FALSE,FALSE,,,,,,,,,1) surgery,1.01E-07,Surgery and anesthesia,
5006,5006,37233,Tibper revasc w/ather add-on,A,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,FALSE,FALSE,,,,,,,,,1) surgery,4.55E-07,Surgery and anesthesia,
2638,2638,37234,Revsc opn/prq tib/pero stent,A,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,FALSE,FALSE,,,,,,,,,1) surgery,3.88E-06,Surgery and anesthesia,
2988,2988,37235,Tib/per revasc stnt & ather,A,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,FALSE,FALSE,,,,,,,,,1) surgery,2.66E-06,Surgery and anesthesia,
6604,6604,37236,Open/perq place stent 1st,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,FALSE,FALSE,,,,,,,,,1) surgery,1.38E-07,Surgery and anesthesia,
8497,8497,37237,Open/perq place stent ea add,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,FALSE,FALSE,,,,,,,,,1) surgery,1.65E-08,Surgery and anesthesia,
5346,5346,37238,Open/perq place stent same,A,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,FALSE,FALSE,,,,,,,,,1) surgery,3.56E-07,Surgery and anesthesia,
7381,7381,37239,Open/perq place stent ea add,A,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,FALSE,FALSE,,,,,,,,,1) surgery,6.91E-08,Surgery and anesthesia,
1314,1314,37241,Vasc embolize/occlude venous,A,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,FALSE,FALSE,,,,,,,,,1) surgery,2.68E-05,Surgery and anesthesia,
912,912,37242,Vasc embolize/occlude artery,A,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,FALSE,FALSE,,,,,,,,,1) surgery,6.17E-05,Surgery and anesthesia,
657,657,37243,Vasc embolize/occlude organ,A,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,FALSE,FALSE,,,,,,,,,1) surgery,0.000113072,Surgery and anesthesia,
765,765,37244,Vasc embolize/occlude bleed,A,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,FALSE,FALSE,,,,,,,,,1) surgery,8.48E-05,Surgery and anesthesia,
795,795,37246,Trluml balo angiop 1st art,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,FALSE,FALSE,,,,,,,,,1) surgery,8.02E-05,Surgery and anesthesia,
2735,2735,37247,Trluml balo angiop addl art,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,FALSE,FALSE,,,,,,,,,1) surgery,3.46E-06,Surgery and anesthesia,
608,608,37248,Trluml balo angiop 1st vein,A,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2,TRUE,FALSE,,,,,,,,,1) surgery,0.000128462,Surgery and anesthesia,
1833,1833,37249,Trluml balo angiop addl vein,A,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,FALSE,FALSE,,,,,,,,,1) surgery,1.19E-05,Surgery and anesthesia,
4029,4029,37252,Intrvasc us noncoronary 1st,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) surgery,1.01E-06,Surgery and anesthesia,
5925,5925,37253,Intrvasc us noncoronary addl,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) surgery,2.29E-07,Surgery and anesthesia,
13926,13926,37500,Endoscopy ligate perf veins,K,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,3,TRUE,FALSE,,,,,,,,,1) surgery,,Surgery and anesthesia,
6483,6483,37501,Vascular endoscopy procedure,A,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,FALSE,FALSE,,,,,,,,,1) surgery,1.51E-07,Surgery and anesthesia,
4500,4500,37565,Ligation of neck vein,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) surgery,6.86E-07,Surgery and anesthesia,
8452,8452,37600,Ligation of neck artery,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) surgery,1.74E-08,Surgery and anesthesia,
8803,8803,37605,Ligation of neck artery,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) surgery,8.54E-09,Surgery and anesthesia,
7205,7205,37606,Ligation of neck artery,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) surgery,8.17E-08,Surgery and anesthesia,
6271,6271,37607,Ligation of a-v fistula,A,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,,,,,,,,,1) surgery,1.76E-07,Surgery and anesthesia,
4833,4833,37609,Temporal artery procedure,A,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,,,,,,,,,1) surgery,5.20E-07,Surgery and anesthesia,
5565,5565,37615,Ligation of neck artery,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) surgery,3.00E-07,Surgery and anesthesia,
8191,8191,37616,Ligation of chest artery,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) surgery,2.62E-08,Surgery and anesthesia,
6810,6810,37617,Ligation of abdomen artery,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) surgery,1.16E-07,Surgery and anesthesia,
7948,7948,37618,Ligation of extremity artery,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) surgery,3.70E-08,Surgery and anesthesia,
4823,4823,37619,Ligation of inf vena cava,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) surgery,5.23E-07,Surgery and anesthesia,
6489,6489,37650,Revision of major vein,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) surgery,1.50E-07,Surgery and anesthesia,
5056,5056,37660,Revision of major vein,A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,,,,,,,,,1) surgery,4.37E-07,Surgery and anesthesia,
3730,3730,37700,Revise leg vein,K,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,4,TRUE,FALSE,,,,,,,,,1) surgery,1.29E-06,Surgery and anesthesia,
5591,5591,37718,Ligate/strip short leg vein,K,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,4,TRUE,FALSE,,,,,,,,,1) surgery,2.95E-07,Surgery and anesthesia,
3227,3227,37722,Ligate/strip long leg vein,K,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,4,TRUE,FALSE,,,,,,,,,1) surgery,2.12E-06,Surgery and anesthesia,
13940,13940,37735,Removal of leg veins/lesion,K,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3,TRUE,FALSE,,,,,,,,,1) surgery,,Surgery and anesthesia,
5478,5478,37760,Ligate leg veins radical,K,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,3,TRUE,FALSE,,,,,,,,,1) surgery,3.18E-07,Surgery and anesthesia,
8732,8732,37761,Ligate leg veins open,K,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,4,TRUE,FALSE,,,,,,,,,1) surgery,1.03E-08,Surgery and anesthesia,
8304,8304,37765,Stab phleb veins xtr 10-20,A,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,3,TRUE,FALSE,,,,,,,,,1) surgery,2.21E-08,Surgery and anesthesia,
7644,7644,37766,Phleb veins - extrem 20+,A,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,3,TRUE,FALSE,,,,,,,,,1) surgery,5.12E-08,Surgery and anesthesia,
6392,6392,37780,Revision of leg vein,K,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,4,TRUE,FALSE,,,,,,,,,1) surgery,1.61E-07,Surgery and anesthesia,
2942,2942,37785,Ligate/divide/excise vein,K,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,4,TRUE,FALSE,,,,,,,,,1) surgery,2.80E-06,Surgery and anesthesia,
